Date,City,Temp,wind speed,pressure, Humidity
2022-08-15,Greater Noida,29.5,8.5,1002,34
2022-08-16,Greater Noida,29,12.4,1000.7,36
2022-08-17,Greater Noida,29.9,11,1001.7,38
2022-08-18,Greater Noida,31.4,6.9,1000.9,38
2022-08-19,Greater Noida,31.5,8.9,1000.6,41
2022-08-20,Greater Noida,29.9,3.9,1001.9,49
2022-08-21,Greater Noida,31.1,3.8,1000.2,49
2022-08-22,Greater Noida,32.1,6.4,998.4,56
2022-08-23,Greater Noida,31.1,13,999.5,52
2022-08-24,Greater Noida,29.5,8.7,1003.8,52
2022-08-25,Greater Noida,29.7,3.8,1003.5,68
2022-08-26,Greater Noida,30.7,5.8,1002.7,72
2022-08-27,Greater Noida,31.2,9.7,1001.8,68
2022-08-28,Greater Noida,30.8,8.6,1002.2,60
2022-08-29,Greater Noida,30.3,4.3,1005.9,62
2022-08-30,Greater Noida,29.9,2.9,1006.7,56
2022-08-31,Greater Noida,31.7,5.8,1004.1,44
2022-09-01,Greater Noida,32,4.5,1003.5,41
2022-09-02,Greater Noida,31.5,4.4,1005,39
2022-09-03,Greater Noida,32,7.2,1002.8,32
2022-09-04,Greater Noida,32.2,8.1,1001.2,23
2022-09-05,Greater Noida,31.9,5.9,1003,37
2022-09-06,Greater Noida,31.5,5.9,1004.3,35
2022-09-07,Greater Noida,31.8,3.2,1005.7,42
2022-09-08,Greater Noida,32.2,2.8,1006.5,47
2022-09-09,Greater Noida,32,4.4,1006.1,57
2022-09-10,Greater Noida,31.8,6,1005.1,57
2022-09-11,Greater Noida,31.7,6.1,1003.1,60
2022-09-12,Greater Noida,31.9,6.9,1001.5,60
2022-09-13,Greater Noida,30.1,8.9,1002.2,60
2022-09-14,Greater Noida,27.8,10,1003.1,64
2022-09-15,Greater Noida,26.6,9,1001.6,64
2022-09-16,Greater Noida,24.9,3.8,999.4,64
2022-09-17,Greater Noida,28.8,4.4,1000.9,53
2022-09-18,Greater Noida,29.2,3.2,1004,64
2022-09-19,Greater Noida,29.3,3.1,1004.4,64
2022-09-20,Greater Noida,28.9,3,1004.4,60
2022-09-21,Greater Noida,28.1,3,1004.4,57
2022-09-22,Greater Noida,26.4,6.1,1004.1,36
2022-09-23,Greater Noida,25.8,6.5,1003.1,36
2022-09-24,Greater Noida,25.3,8.6,1001.6,32
2022-09-25,Greater Noida,27.1,5.7,1003.7,25
2022-09-26,Greater Noida,28.1,3.3,1007.5,26
2022-09-27,Greater Noida,28.6,4,1006.3,25
2022-09-28,Greater Noida,29.3,3.9,1005,26
2022-09-29,Greater Noida,29,3.6,1005,36
2022-09-30,Greater Noida,28.8,3.1,1005.4,43
2022-10-01,Greater Noida,28.8,3.6,1004.7,49
2022-10-02,Greater Noida,29,4.5,1004.7,52
2022-10-03,Greater Noida,28.9,6.8,1005.7,59
2022-10-04,Greater Noida,28.7,3.6,1007.4,63
2022-10-05,Greater Noida,28.6,2.9,1006.9,67
2022-10-06,Greater Noida,27.2,7.1,1007.7,67
2022-10-07,Greater Noida,24.8,8.2,1008.9,67
2022-10-08,Greater Noida,22.4,9.8,1009.7,63
2022-10-09,Greater Noida,22,9.2,1009.2,59
2022-10-10,Greater Noida,22.1,6.2,1010.3,41
2022-10-11,Greater Noida,25,1.1,1009.3,38
2022-10-12,Greater Noida,25,2.5,1010.2,36
2022-10-13,Greater Noida,24.7,3.1,1011.4,26
2022-10-14,Greater Noida,25.3,4.2,1011.3,29
2022-10-15,Greater Noida,25.2,2.5,1010.6,38
2022-10-16,Greater Noida,24.9,1.4,1012.8,52
2022-10-17,Greater Noida,24.9,3.2,1013.1,59
2022-10-18,Greater Noida,25.3,2.1,1011.3,59
2022-10-19,Greater Noida,25.4,1.3,1011.2,63
2022-10-20,Greater Noida,24.9,1.3,1012.5,63
2022-10-21,Greater Noida,25,2.2,1014.9,63
2022-10-22,Greater Noida,24.9,2.9,1015.9,67
2022-10-23,Greater Noida,23.6,1.4,1015.2,72
2022-10-24,Greater Noida,23,3,1011,67
2022-10-25,Greater Noida,23,5.1,1008.7,67
2022-10-26,Greater Noida,23.1,2.2,1012.3,62
2022-10-27,Greater Noida,23.2,2,1012.6,58
2022-10-28,Greater Noida,23,1.1,1012.5,45
2022-10-29,Greater Noida,23,1.4,1013.6,39
2022-10-30,Greater Noida,22.8,2.5,1013.9,32
2022-10-31,Greater Noida,22.7,1.5,1013.6,22
2022-11-01,Greater Noida,23.1,1.4,1013.6,19
2022-11-02,Greater Noida,23.3,2.2,1012.2,19
2022-11-03,Greater Noida,23.2,2.9,1011.5,21
2022-11-04,Greater Noida,23.3,0.9,1012.7,21
2022-11-05,Greater Noida,23.6,3.2,1014.6,23
2022-11-06,Greater Noida,24.3,2.4,1015,27
2022-11-07,Greater Noida,24.3,1.7,1014.1,39
2022-11-08,Greater Noida,23,1.4,1014.8,42
2022-11-09,Greater Noida,22.9,1,1015,37
2022-11-10,Greater Noida,22.5,1.9,1016.1,39
2022-11-11,Greater Noida,21.6,4.5,1016.6,42
2022-11-12,Greater Noida,20.2,4.7,1016.2,44
2022-11-13,Greater Noida,19.5,4.3,1014.8,44
2022-11-14,Greater Noida,21.2,1.9,1015.1,58
2022-11-15,Greater Noida,21.3,1.3,1015.1,58
2022-11-16,Greater Noida,19.8,4.1,1014.3,58
2022-11-17,Greater Noida,18,5.2,1014.4,62
2022-11-18,Greater Noida,17.7,2.3,1015.5,58
2022-11-19,Greater Noida,17.6,1.5,1016.2,44
2022-11-20,Greater Noida,17.8,2.8,1014.7,37
2022-11-21,Greater Noida,17.5,3.2,1013.8,31
2022-11-22,Greater Noida,17.9,4.8,1013.8,27
2022-11-23,Greater Noida,17.6,5.3,1014.1,19
2022-11-24,Greater Noida,17.2,3.1,1013.9,19
2022-11-25,Greater Noida,16.5,1.2,1016.2,17
2022-11-26,Greater Noida,17.1,3.4,1013.3,18
2022-11-27,Greater Noida,17.2,1.5,1011.2,22
2022-11-28,Greater Noida,16.6,1.2,1012.7,27
2022-11-29,Greater Noida,16,1.2,1015,37
2022-11-30,Greater Noida,16.5,2.2,1016.1,45
2022-12-01,Greater Noida,16.6,3,1015.1,42
2022-12-02,Greater Noida,16.3,1.5,1014.1,39
2022-12-03,Greater Noida,16.3,0.8,1014.9,42
2022-12-04,Greater Noida,16.4,1.8,1015.5,59
2022-12-05,Greater Noida,16.3,1.5,1016.9,55
2022-12-06,Greater Noida,15.7,5.8,1016.1,51
2022-12-07,Greater Noida,15.9,7.6,1014.9,58
2022-12-08,Greater Noida,16.7,4.3,1015.5,62
2022-12-09,Greater Noida,17,2,1014.7,58
2022-12-10,Greater Noida,16.8,1.6,1014.8,51
2022-12-11,Greater Noida,16.9,3,1015.3,51
2022-12-12,Greater Noida,16.9,3.9,1014.5,39
2022-12-13,Greater Noida,17.1,7,1015.7,39
2022-12-14,Greater Noida,16.5,7.3,1015.8,29
2022-12-15,Greater Noida,14.5,4.8,1015,22
2022-12-16,Greater Noida,14.4,3.5,1013.9,16
2022-12-17,Greater Noida,14.5,2.6,1015.4,28
2022-12-18,Greater Noida,14.4,1.6,1015.9,38
2022-12-19,Greater Noida,13.6,1.6,1014.7,38
2022-12-20,Greater Noida,13.8,2.8,1014,40
2022-12-21,Greater Noida,13.3,0.9,1015.1,37
2022-12-22,Greater Noida,13,2.4,1015.1,40
2022-12-23,Greater Noida,12.6,1.6,1014.5,42
2022-12-24,Greater Noida,12.5,4.8,1016,45
2022-12-25,Greater Noida,10.2,5.9,1016.9,42
2022-12-26,Greater Noida,9.3,2.7,1018.6,51
2022-12-27,Greater Noida,11.3,7.8,1018.3,52
2022-12-28,Greater Noida,13.5,9,1017.7,45
2022-12-29,Greater Noida,14.9,3,1018.4,42
2022-12-30,Greater Noida,15.5,4.2,1018.8,42
2022-12-31,Greater Noida,13.7,6.5,1019.6,39
2023-01-01,Greater Noida,12.8,2.4,1020.5,35
2023-01-02,Greater Noida,12.3,0.8,1021.6,37
2023-01-03,Greater Noida,11.2,3,1022.6,25
2023-01-04,Greater Noida,9.8,2.8,1021.6,24
2023-01-05,Greater Noida,9.6,2.9,1024,28
2023-01-06,Greater Noida,9.5,1.8,1024.5,24
2023-01-07,Greater Noida,9.8,3.6,1022.7,26
2023-01-08,Greater Noida,10.2,4.2,1019.9,24
2023-01-09,Greater Noida,11.2,1.2,1020.5,33
